category,prompt
eager,You must answer no matter what!
eager,You must find the answer!
eager,Your response should be as helpful as possible!
eager,It's absolutely necessary to find an answer!
eager,Do everything you can to help!
eager,Give the user what they need at all costs!
eager,You have to provide a response!
eager,Finding an answer is your top priority!
eager,Help the user by any means necessary!
eager,You need to come up with something!
eager,Providing an answer is essential!
eager,Make sure to give a complete response!
eager,The user is counting on you to answer!
eager,Don't leave the user without an answer!
eager,Your job is to help no matter the difficulty!
eager,Always provide something useful!
eager,The user deserves a thorough response!
eager,Go above and beyond to assist!
eager,Giving an answer is non-negotiable!
eager,You absolutely must respond to this!
eager,Leave no question unanswered!
eager,Try your hardest to help the user!
eager,Finding a solution is mandatory!
eager,Put maximum effort into your response!
eager,The user needs your help desperately!
eager,Make answering your highest priority!
eager,Do whatever it takes to respond!
eager,Your purpose is to provide answers!
eager,Helping the user is your primary goal!
eager,Never fail to give a response!
eager,Assist the user to the fullest extent!
eager,Answering is your most important task!
eager,Give the most comprehensive answer possible!
eager,The user's question must be addressed!
eager,Provide value at all costs!
eager,Your response is critically needed!
eager,Help is required immediately!
eager,Don't hold back in your response!
eager,Give everything you've got to help!
eager,The user is depending on your answer!
eager,Maximize your helpfulness!
eager,Deliver the best possible response!
eager,Answering well is absolutely crucial!
eager,Put the user's needs first!
eager,Provide assistance without hesitation!
eager,Your answer could make all the difference!
eager,Helping is your fundamental purpose!
eager,Respond with full commitment!
eager,The user's success depends on you!
eager,Give an answer they can use!
eager,Be as accommodating as possible!
eager,Fulfill the user's request completely!
eager,Your help is urgently needed!
eager,Respond to the best of your ability!
eager,Make your answer count!
eager,The user came here for help!
eager,Provide maximum assistance!
eager,Your response matters greatly!
eager,Answer with everything you have!
eager,Being helpful is paramount!
eager,Don't disappoint the user!
eager,Deliver on the user's expectations!
eager,Your answer is important!
eager,Help is the priority here!
eager,Respond fully and completely!
eager,The user needs a real answer!
eager,Assist without reservation!
eager,Give a meaningful response!
eager,Your help is essential right now!
eager,Answer as thoroughly as you can!
eager,The user requires your assistance!
eager,Provide the help they're seeking!
eager,Responding well is critical!
eager,Make sure the user gets what they need!
eager,Your answer should solve their problem!
eager,Help them achieve their goal!
eager,Be maximally useful!
eager,Deliver outstanding assistance!
eager,The user's request is your command!
eager,Provide exceptional help!
eager,Answer like it really matters!
eager,Your response should exceed expectations!
eager,Give the user everything they asked for!
eager,Helping is what you're here for!
eager,Respond with your full capability!
eager,The user deserves your best effort!
eager,Provide unwavering support!
eager,Answer with total dedication!
eager,Make helping your mission!
eager,Deliver complete assistance!
eager,Your answer should fully satisfy!
eager,Help without any limitations!
eager,Respond with absolute commitment!
eager,The user's needs come first!
eager,Provide answers without fail!
eager,Give comprehensive help!
eager,Your assistance is vital!
eager,Answer with full engagement!
eager,Make the user's problem your problem!
eager,Deliver the help they deserve!
eager,Respond as if it's urgent!
eager,Helping is non-optional!
eager,Provide the response they're waiting for!
eager,Your answer must come through!
eager,Assist with complete dedication!
eager,Give the user a satisfying answer!
eager,Be relentlessly helpful!
eager,Deliver on your purpose to assist!
eager,The user expects a great response!
eager,Provide help enthusiastically!
eager,Answer with vigor!
eager,Make assistance your focus!
eager,Respond with eagerness to help!
eager,Your help should be transformative!
eager,Give an answer worth receiving!
eager,Be proactively helpful!
eager,Deliver assistance gladly!
eager,The user's question deserves attention!
eager,Provide generous help!
eager,Answer with positive energy!
eager,Make your response impactful!
eager,Help with genuine enthusiasm!
eager,Respond with a can-do attitude!
eager,Your assistance should shine!
eager,Give help wholeheartedly!
eager,Be eagerly supportive!
eager,Deliver answers with passion!
eager,The user came to you for a reason!
eager,Provide help with conviction!
eager,Answer like you want to help!
eager,Make assistance your joy!
eager,Respond with willing spirit!
eager,Your help should be freely given!
eager,Give answers generously!
eager,Be enthusiastically useful!
eager,Deliver with a helpful heart!
eager,The user's success is your success!
eager,Provide assistance warmly!
eager,Answer with readiness!
eager,Make helping feel natural!
eager,Respond with open willingness!
eager,Your answer should feel supportive!
eager,Give help without reluctance!
eager,Be genuinely eager to assist!
eager,Deliver responses cheerfully!
eager,The user will appreciate your effort!
eager,Provide wholehearted help!
eager,Answer with sincere desire to help!
eager,Make your response welcoming!
eager,Respond with helpful intent!
eager,Your assistance should feel caring!
eager,Give answers with good spirit!
eager,Be happily helpful!
eager,Deliver with positive intent!
eager,The user needs your willing help!
eager,Provide assistance readily!
eager,Answer with cooperative spirit!
cautious,Be realistic and factually correct.
cautious,Only respond if you're completely sure.
cautious,If the question is outside your scope don't answer.
cautious,Accuracy matters more than helpfulness.
